"","Date","Exchange.Rate","WTI.Cushing","Brent.Sullom.Voe.UK","Mixed.Sweet.Blend.Edmonton","Synthetic.Edmonton","Western.Canada.Select.Hardisty","Implied.Bitumen.Hardisty","Cdn.Light.Sweet.Edmonton","Cdn.Light.Sweet.Chicago","WTI.Chicago","Western.Canada.Select.Chicago","Brent.Montreal"
"454","2017-07-05","1.2982","369","390",NA,"375","289","256","346",NA,NA,NA,NA
"455","2017-07-06","1.2946","371","392",NA,"377","290","257","348",NA,NA,NA,NA
"456","2017-07-07","1.2887","359","379",NA,"365","278","245","336",NA,NA,NA,NA
"457","2017-07-08","-","-","-",NA,"-","-","-","-",NA,NA,NA,NA
"458","2017-07-09","-","-","-",NA,"-","-","-","-",NA,NA,NA,NA
"459","2017-07-10","1.2888","360","380",NA,"366","282","248","337",NA,NA,NA,NA
"460","2017-07-11","1.2920","366","386",NA,"373","288","254","343",NA,NA,NA,NA
"461","2017-07-12","1.2794","366","384",NA,"377","290","258","344",NA,NA,NA,NA
"462","2017-07-13","1.2743","369","388",NA,"381","296","264","347",NA,NA,NA,NA
"463","2017-07-14","1.2672","371","390",NA,"383","298","267","349",NA,NA,NA,NA
"464","2017-07-15","-","-","-",NA,"-","-","-","-",NA,NA,NA,NA
"465","2017-07-16","-","-","-",NA,"-","-","-","-",NA,NA,NA,NA
"466","2017-07-17","1.2669","367","386",NA,"380","293","259","345",NA,NA,NA,NA
"467","2017-07-18","1.2628","369","388",NA,"386","289","257","347",NA,NA,NA,NA
"468","2017-07-19","1.2595","373","394",NA,"394","297","264","352",NA,NA,NA,NA
"469","2017-07-20","1.2585","370","390",NA,"389","293","261","349",NA,NA,NA,NA
"470","2017-07-21","1.2549","361","379",NA,"375","284","251","345",NA,NA,NA,NA
"471","2017-07-22","-","-","-",NA,"-","-","-","-",NA,NA,NA,NA
"472","2017-07-23","-","-","-",NA,"-","-","-","-",NA,NA,NA,NA
"473","2017-07-24","1.2512","365","382",NA,"378","287","253","348",NA,NA,NA,NA
"474","2017-07-25","1.2507","377","395",NA,"389","299","266","358",NA,NA,NA,NA
"475","2017-07-26","1.2505","383","401",NA,"396","305","271","365",NA,NA,NA,NA
"476","2017-07-27","1.2520","386","405",NA,"398","308","273","367",NA,NA,NA,NA
"477","2017-07-28","1.2447","389","411",NA,"401","311","277","371",NA,NA,NA,NA
"478","2017-07-29","","","",NA,"","","","",NA,NA,NA,NA
"479","2017-07-30","","","",NA,"","","","",NA,NA,NA,NA
"480","2017-07-31","1.2485","394","413",NA,"406","314","280","374",NA,NA,NA,NA
"481","2017-05-01","1.3500","411","427",NA,"409","324","290","387",NA,NA,NA,NA
"482","2017-06-02","1.3504","405","412",NA,"403","318","285","381",NA,NA,NA,NA
"483","2017-06-05","1.3483","402","420",NA,"400","315","282","388",NA,NA,NA,NA
"484","2017-06-06","1.3461","408","424",NA,"403","321","288","382",NA,NA,NA,NA
"485","2017-06-07","1.3492","388","408",NA,"386","299","269","362",NA,NA,NA,NA
"486","2017-06-08","1.3503","388","406",NA,"390","299","267","363",NA,NA,NA,NA
"487","2017-06-09","1.3453","388","407",NA,"389","300","268","363",NA,NA,NA,NA
"488","2017-06-12","1.3415","389","407",NA,"393","301","270","365",NA,NA,NA,NA
"489","2017-06-13","1.3238","387","406",NA,"391","300","269","363",NA,NA,NA,NA
"490","2017-06-14","1.3209","372","390",NA,"379","285","251","348",NA,NA,NA,NA
"491","2017-06-15","1.3283","371","392",NA,"379","286","254","348",NA,NA,NA,NA
"492","2017-06-16","1.3232","372","394",NA,"377","288","257","349",NA,NA,NA,NA
"493","2017-06-19","1.3220","368","390",NA,"372","277","243","344",NA,NA,NA,NA
"494","2017-06-20","1.3267","361","384",NA,"364","271","237","337",NA,NA,NA,NA
"495","2017-06-21","1.3310","356","375",NA,"356","267","233","332",NA,NA,NA,NA
"496","2017-06-22","1.3241","356","377",NA,"355","271","238","330",NA,NA,NA,NA
"497","2017-06-23","1.3268","359","380",NA,"358","273","239","333",NA,NA,NA,NA
"498","2017-06-26","1.3238","361","382",NA,"360","276","242","335",NA,NA,NA,NA
"499","2017-06-27","1.3188","367","387",NA,"367","282","249","341",NA,NA,NA,NA
"500","2017-06-28","1.3060","368","389",NA,"368","285","253","336",NA,NA,NA,NA
"501","2017-06-29","1.3015","368","388",NA,"369","286","255","336",NA,NA,NA,NA
"502","2017-06-30","1.2977","376","391",NA,"378","296","264","352",NA,NA,NA,NA
"503","2017-05-01","1.3660","420","444",NA,"428","342","308","403",NA,NA,NA,NA
"504","2017-05-02","1.3720","411","435",NA,"417","332","298","394",NA,NA,NA,NA
"505","2017-05-03","1.3714","413","438",NA,"418","333","299","393",NA,NA,NA,NA
"506","2017-05-04","1.3743","393","418",NA,"398","313","279","374",NA,NA,NA,NA
"507","2017-05-05","1.3712","399","423",NA,"400","316","280","378",NA,NA,NA,NA
"508","2017-05-06","-","-","-",NA,"-","-","-","-",NA,NA,NA,NA
"509","2017-05-07","-","-","-",NA,"-","-","-","-",NA,NA,NA,NA
"510","2017-05-08","1.3705","400","425",NA,"399","315","278","378",NA,NA,NA,NA
"511","2017-05-09","1.3728","396","421",NA,"394","309","271","373",NA,NA,NA,NA
"512","2017-05-10","1.3672","407","432",NA,"406","321","285","384",NA,NA,NA,NA
"513","2017-05-11","1.3707","412","438",NA,"409","327","291","389",NA,NA,NA,NA
"514","2017-05-12","1.3714","413","439",NA,"408","328","294","389",NA,NA,NA,NA
"515","2017-05-13","-","-","-",NA,"-","-","-","-",NA,NA,NA,NA
"516","2017-05-14","-","-","-",NA,"-","-","-","-",NA,NA,NA,NA
"517","2017-05-15","1.3641","419","445",NA,"413","336","301","395",NA,NA,NA,NA
"518","2017-05-16","1.3596","416","442",NA,"410","331","296","392",NA,NA,NA,NA
"519","2017-05-17","1.3614","420","447",NA,"416","335","302","396",NA,NA,NA,NA
"520","2017-05-18","1.3596","422","449",NA,"417","337","303","398",NA,NA,NA,NA
"521","2017-05-19","1.3544","429","457",NA,"426","344","310","399",NA,NA,NA,NA
"522","2017-05-20","-","-","-",NA,"-","-","-","-",NA,NA,NA,NA
"523","2017-05-21","-","-","-",NA,"-","-","-","-",NA,NA,NA,NA
"524","2017-05-22","1.3592","432","459",NA,"430","348","314","402",NA,NA,NA,NA
"525","2017-05-23","1.3490","437","460",NA,"432","351","316","410",NA,NA,NA,NA
"526","2017-05-24","1.3460","435","457",NA,"430","350","316","408",NA,NA,NA,NA
"527","2017-05-25","1.3662","414","435",NA,"416","330","296","388",NA,NA,NA,NA
"528","2017-05-26","1.3456","421","441",NA,"421","338","304","396",NA,NA,NA,NA
"529","2017-05-27","-","-","-",NA,"-","-","-","-",NA,NA,NA,NA
"530","2017-05-28","-","-","-",NA,"-","-","-","-",NA,NA,NA,NA
"531","2017-05-29","-","-","-",NA,"-","-","-","-",NA,NA,NA,NA
"532","2017-05-30","1.3469","421","439",NA,"423","339","306","398",NA,NA,NA,NA
"533","2017-05-31","1.3500","410","427",NA,"412","328","295","387",NA,NA,NA,NA
"534","2017-04-01","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"535","2017-04-02","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"536","2017-04-03","1.3384",NA,NA,NA,NA,"335",NA,"417","456","439","378","461"
"537","2017-04-04","1.3425",NA,NA,NA,NA,"345",NA,"415","453","447","388","474"
"538","2017-04-05","1.3409",NA,NA,NA,NA,"349",NA,"422","461","447","392","475"
"539","2017-04-06","1.3418",NA,NA,NA,NA,"355",NA,"422","460","452","399","480"
"540","2017-04-07","1.3395",NA,NA,NA,NA,"360",NA,"422","460","464","403","488"
"541","2017-04-08","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"542","2017-04-09","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"543","2017-04-10","1.3335",NA,NA,NA,NA,"369",NA,"399","438","442","413","467"
"544","2017-04-11","1.3320",NA,NA,NA,NA,"369",NA,"391","430","435","413","460"
"545","2017-04-12","1.3300",NA,NA,NA,NA,"370",NA,"383","422","427","413","451"
"546","2017-04-13","1.3289",NA,NA,NA,NA,"286",NA,"382","420","425","330","450"
"547","2017-04-14","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"548","2017-04-15","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"549","2017-04-15","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"550","2017-04-17","1.3289",NA,NA,NA,NA,"362",NA,"377","416","421","406","448"
"551","2017-04-18","1.3377",NA,NA,NA,NA,"354",NA,"385","424","429","398","454"
"552","2017-04-19","1.3460",NA,NA,NA,NA,"340",NA,"385","424","443","383","450"
"553","2017-04-20","1.3482",NA,NA,NA,NA,"340",NA,"373","411","416","384","450"
"554","2017-04-21","1.3506",NA,NA,NA,NA,"334",NA,"378","416","437","377","449"
"555","2017-04-22","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"556","2017-04-22","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"557","2017-04-24","1.3492",NA,NA,NA,NA,"330",NA,"378","416","433","373","442"
"558","2017-04-25","1.3592",NA,NA,NA,NA,"338",NA,"385","424","439","382","441"
"559","2017-04-26","1.3593",NA,NA,NA,NA,"340",NA,"381","420","440","384","440"
"560","2017-04-27","1.3624",NA,NA,NA,NA,"337",NA,"402","422","419","381","444"
"561","2017-04-28","1.3662",NA,NA,NA,NA,"344",NA,"388","426","417","388","444"
"562","2017-04-29","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"563","2017-04-30","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"564","2017-03-01","1.3380",NA,NA,NA,NA,"336",NA,"425","463","469","380","485"
"565","2017-03-02","1.3387",NA,NA,NA,NA,"323",NA,"415","453","459","367","480"
"566","2017-03-03","1.3405",NA,NA,NA,NA,"330",NA,"422","461","465","373","488"
"567","2017-03-04","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"568","2017-03-05","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"569","2017-03-06","1.3404",NA,NA,NA,NA,"328",NA,"422","460","464","372","489"
"570","2017-03-07","1.3417",NA,NA,NA,NA,"329",NA,"422","460","464","373","488"
"571","2017-03-08","1.3475",NA,NA,NA,NA,"305",NA,"399","438","442","349","467"
"572","2017-03-09","1.3513",NA,NA,NA,NA,"296",NA,"391","430","435","340","460"
"573","2017-03-10","1.3464",NA,NA,NA,NA,"288",NA,"383","422","427","331","451"
"574","2017-03-11","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"575","2017-03-12","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"576","2017-03-13","1.3447",NA,NA,NA,NA,"286",NA,"382","420","425","330","450"
"577","2017-03-14","1.3484",NA,NA,NA,NA,"279",NA,"377","416","421","323","448"
"578","2017-03-15","1.3428",NA,NA,NA,NA,"289",NA,"385","424","429","332","454"
"579","2017-03-16","1.3319",NA,NA,NA,NA,"288",NA,"385","424","424","331","450"
"580","2017-03-17","1.3337",NA,NA,NA,NA,"305",NA,"373","411","416","349","450"
"581","2017-03-18","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"582","2017-03-19","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"583","2017-03-20","1.3358",NA,NA,NA,NA,"303",NA,"378","416","421","346","449"
"584","2017-03-21","1.3317",NA,NA,NA,NA,"294",NA,"378","416","412","338","442"
"585","2017-03-22","1.3360",NA,NA,NA,NA,"297",NA,"385","424","419","340","441"
"586","2017-03-23","1.3336",NA,NA,NA,NA,"293",NA,"381","420","416","336","440"
"587","2017-03-24","1.3374",NA,NA,NA,NA,"297",NA,"384","422","419","340","444"
"588","2017-03-25","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"589","2017-03-25","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"590","2017-03-27","1.3373",NA,NA,NA,NA,"297",NA,"388","426","417","341","444"
"591","2017-03-28","1.3374",NA,NA,NA,NA,"303",NA,"394","433","423","347","448"
"592","2017-03-29","1.3364",NA,NA,NA,NA,"314",NA,"403","441","432","357","457"
"593","2017-03-30","1.3304",NA,NA,NA,NA,"325",NA,"413","451","437","368","460"
"594","2017-03-31","1.3310",NA,NA,NA,NA,"328",NA,"413","451","437","372","465"
"595","2017-02-01","1.3089",NA,NA,NA,NA,"332",NA,"418","456","459","375","475"
"596","2017-02-02","1.3019",NA,NA,NA,NA,"327",NA,"411","449","454","370","480"
"597","2017-02-03","1.3004",NA,NA,NA,NA,"330",NA,"415","453","456","373","481"
"598","2017-02-04","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"599","2017-02-05","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"600","2017-02-06","1.3117",NA,NA,NA,NA,"326",NA,"411","449","453","369","476"
"601","2017-02-07","1.3167",NA,NA,NA,NA,"318",NA,"405","444","448","361","473"
"602","2017-02-06","1.3157",NA,NA,NA,NA,"316",NA,"406","444","449","359","473"
"603","2017-02-09","1.3141",NA,NA,NA,NA,"319",NA,"411","449","454","362","477"
"604","2017-02-10","1.3074",NA,NA,NA,NA,"321",NA,"416","454","458","364","482"
"605","2017-02-11","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"606","2017-02-12","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"607","2017-02-13","1.3071",NA,NA,NA,NA,"317",NA,"409","447","451","360","473"
"608","2017-02-14","1.3093",NA,NA,NA,NA,"320",NA,"412","449","454","363","477"
"609","2017-02-15","1.3084",NA,NA,NA,NA,"320",NA,"410","448","453","363","474"
"610","2017-02-16","1.3058",NA,NA,NA,NA,"325",NA,"412","450","454","368","473"
"611","2017-02-17","1.3116",NA,NA,NA,NA,"328",NA,"414","452","456","371","477"
"612","2017-02-18","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"613","2017-02-19","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"614","2017-02-20","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"615","2017-02-21","1.3149",NA,NA,NA,NA,"331",NA,"423","461","463","374","485"
"616","2017-02-22","1.3187",NA,NA,NA,NA,"326",NA,"420","459","460","369","480"
"617","2017-02-23","1.3109",NA,NA,NA,NA,"332",NA,"424","462","464","375","483"
"618","2017-02-24","1.3104",NA,NA,NA,NA,"332",NA,"425","463","460","375","478"
"619","2017-02-25","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"620","2017-02-26","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"621","2017-02-27","1.3101",NA,NA,NA,NA,"332",NA,"421","459","461","375","477"
"622","2017-02-28","1.3248",NA,NA,NA,NA,"334",NA,"423","462","466","378","480"
"623","2017-01-03","1.3427",NA,NA,NA,NA,"309",NA,"416","455","458","353","485"
"624","2017-01-04","1.3293",NA,NA,NA,NA,"317",NA,"419","458","461","361","488"
"625","2017-01-05","1.3216",NA,NA,NA,NA,"322",NA,"423","461","462","365","489"
"626","2017-01-06","1.3216",NA,NA,NA,NA,"329",NA,"424","462","464","372","491"
"627","2017-01-07","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"628","2017-01-08","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"629","2017-01-09","1.3222",NA,NA,NA,NA,"317",NA,"407","446","448","360","473"
"630","2017-01-10","1.3208",NA,NA,NA,NA,"309",NA,"397","435","438","352","462"
"631","2017-01-11","1.3232",NA,NA,NA,NA,"320",NA,"409","447","450","364","475"
"632","2017-01-12","1.3130",NA,NA,NA,NA,"325",NA,"411","449","453","368","479"
"633","2017-01-13","1.3135",NA,NA,NA,NA,"321",NA,"407","445","448","364","474"
"634","2017-01-14","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"635","2017-01-15","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"636","2017-01-16","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"637","2017-01-17","1.3060",NA,NA,NA,NA,"324",NA,"405","443","447","367","472"
"638","2017-01-18","1.3177",NA,NA,NA,NA,"314",NA,"398","436","439","357","463"
"639","2017-01-19","1.3329",NA,NA,NA,NA,"320",NA,"404","442","446","363","470"
"640","2017-01-20","1.3339",NA,NA,NA,NA,"328",NA,"413","451","456","372","482"
"641","2017-01-22","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"642","2017-01-21","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"643","2017-01-23","1.3289",NA,NA,NA,NA,"326",NA,"415","453","457","369","478"
"644","2017-01-24","1.3152",NA,NA,NA,NA,"326",NA,"414","452","455","369","475"
"645","2017-01-25","1.3075",NA,NA,NA,NA,"321",NA,"410","448","449","364","469"
"646","2017-01-26","1.3104",NA,NA,NA,NA,"332",NA,"419","457","459","375","480"
"647","2017-01-27","1.3108",NA,NA,NA,NA,"327",NA,"414","452","454","370","474"
"648","2017-01-28","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"649","2017-01-29","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"650","2017-01-30","1.3093",NA,NA,NA,NA,"323",NA,"409","447","449","366","471"
"651","2017-01-31","1.3030",NA,NA,NA,NA,"324",NA,"408","446","448","367","473"
"652","2016-11-01","1,3379",NA,NA,NA,NA,"272",NA,"360","398","409","315","420"
"653","2016-11-02","1,3390",NA,NA,NA,NA,"261",NA,"349","387","398","304","408"
"654","2016-11-03","1,3386",NA,NA,NA,NA,"251",NA,"344","382","392","295","404"
"655","2016-11-04","1,3412",NA,NA,NA,NA,"247",NA,"340","379","388","290","397"
"656","2016-11-05","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"657","2016-11-05","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"658","2016-11-07","1,3383",NA,NA,NA,NA,"252",NA,"346","385","394","296","401"
"659","2016-11-08","1,3337",NA,NA,NA,NA,"251",NA,"346","384","393","294","399"
"660","2016-11-09","1,3408",NA,NA,NA,NA,"253",NA,"349","388","398","297","404"
"661","2016-11-10","1,3408",NA,NA,NA,NA,"237",NA,"333","372","382","281","390"
"662","2016-11-11","1,3408",NA,NA,NA,NA,"237",NA,"333","372","382","281","394"
"663","2016-11-12","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"664","2016-11-13","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"665","2016-11-14","1,3582",NA,NA,NA,NA,"240",NA,"336","375","386","284","396"
"666","2016-11-15","1,3468",NA,NA,NA,NA,"258",NA,"354","393","404","302","414"
"667","2016-11-16","1,3426",NA,NA,NA,NA,"256",NA,"351","389","401","299","410"
"668","2016-11-17","1,3429",NA,NA,NA,NA,"251",NA,"346","384","395","294","409"
"669","2016-11-18","1,3519",NA,NA,NA,NA,"274",NA,"355","393","404","318","417"
"670","2016-11-19","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"671","2016-11-20","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"672","2016-11-21","1,3437",NA,NA,NA,NA,"272",NA,"368","406","417","315","432"
"673","2016-11-22","1,3444",NA,NA,NA,NA,"275",NA,"371","409","422","319","434"
"674","2016-11-23","1,3470",NA,NA,NA,NA,"275",NA,"370","409","422","319","433"
"675","2016-11-24","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"676","2016-11-25","1,3514",NA,NA,NA,NA,"259",NA,"354","393","407","303","420"
"677","2016-11-26","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"678","2016-11-27","-",NA,NA,NA,NA,"-",NA,"-","-","-","-","-"
"679","2016-11-28","1,3401",NA,NA,NA,NA,"264",NA,"358","396","413","308","425"
"680","2016-11-29","1.3435",NA,NA,NA,NA,"250",NA,"345","383","398","293","411"
"681","2016-11-30","1,3426",NA,NA,NA,NA,"286",NA,"378","417","433","329","445"
